,ds,yhat
427,2021-04-01,34330.400306950425
428,2021-04-02,34687.01223733634
429,2021-04-03,34871.489350989024
430,2021-04-04,33972.146645031804
431,2021-04-05,29922.28281635813
432,2021-04-06,33747.41408150667
433,2021-04-07,36393.744740343885
434,2021-04-08,35976.79919530765
435,2021-04-09,36333.41112568168
436,2021-04-10,36517.88823933618
437,2021-04-11,35618.545533376455
438,2021-04-12,31568.681704704388
439,2021-04-13,35393.81296983981
440,2021-04-14,38040.14362869382
441,2021-04-15,37623.1980836533
442,2021-04-16,37979.81001403588
443,2021-04-17,38164.28712768611
444,2021-04-18,37264.94442173846
445,2021-04-19,33215.080593050676
446,2021-04-20,37040.211858190036
447,2021-04-21,39686.54251704371
448,2021-04-22,39269.59697199897
449,2021-04-23,39626.208902381215
450,2021-04-24,39810.686016034386
451,2021-04-25,38911.34331008311
452,2021-04-26,34861.479481398754
453,2021-04-27,38686.610746540275
454,2021-04-28,41332.94140538862
455,2021-04-29,40915.99586035095
456,2021-04-30,41272.607790726564
